date,year,aircraft_type,category,manoeuvre,fit,mac,loc,fio,obstacle,enviro,weather,bird_strike,structural,mechanical,incapacitation,event_name,practice,air_race,demo,demo_prac,flypast,flypast_prac,photo_opp,race_practice,aero_comp,flight_test,military,civilian,formation_team,drone_show,pilot_error,pilot_killed,pilot_injured,crew_kill,crew_inj,pax_kill,pax_inj,spec_kill,spec_inj,pub_kill,pub_inj,para_killed,para_inj,fatalities,casualties,location,country,remarks,contributing_factor,man_factor,machine_factor,medium_factor,mission_factor,management_factor,continent
1908-05-02,1908,Unknown,Light Utility,Fly By,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Issy Les Molineux,France,,,1,0,0,0,0,
1908-08-13,1908,Wright Flyer,Light Utility,Descent,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Le Mans,France,,,1,0,0,0,0,
1908-09-17,1908,Wright Flyer,Light Utility,Turn,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,Virginia,USA,"First airshow accident, first pax killed, first structural failure",,0,1,0,0,0,
1909-06-15,1909,Sorenson Homebuilt,Experimental  Homebuilt,Gliding,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Nebraska,USA,,,1,0,0,0,0,
1909-09-22,1909,Voison Biplane,Light Utility,Turn,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Boulogne,France,,,1,0,0,0,0,
1909-10-18,1909,Bleriot Monoplane,Light Utility,Takeoff,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,12.0,0.0,0.0,0.0,0.0,0,0,Juvisy,France,,,0,1,0,0,0,
1910-02-04,1910,Farman Biplane,Light Utility,Takeoff,0,0,0,1.0,Fence,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,12.0,0.0,0.0,0.0,0.0,0,0,Colorado,USA,,,0,0,0,0,0,
1910-04-07,1910,Curtiss Pusher,Light Utility,Unknown,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Memphis,USA,First Mechanical failure engine,,0,1,0,0,0,
1910-04-08,1910,Unknown,Light Utility,Unknown,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,Memphis,USA,,,1,0,0,0,0,
1910-04-10,1910,Curtiss Pusher,Light Utility,Unknown,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Memphis,USA,,,1,0,0,0,0,
1910-04-26,1910,Unknown Type,Light Utility,Takeoff,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Paris,France,,,1,0,0,0,0,
1910-05-01,1910,Curtiss Biplane,Light Utility,Takeoff,0,0,0,1.0,Fence,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,California,USA,,,0,0,0,0,0,
1910-06-09,1910,Unknown Type,Light Utility,Unknown,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,7.0,0.0,0.0,0.0,0.0,0,1,Worcester,UK,,,1,0,0,0,0,
1910-06-09,1910,Curtiss Biplane,Light Utility,Unknown,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Kansas,USA,,,1,0,0,0,0,
1910-06-13,1910,Curtiss Biplane,Light Utility,Fly By,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Missouri,USA,,,0,1,0,0,0,
1910-07-02,1910,Curtiss Biplane,Light Utility,Turning,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,California,USA,,,0,0,1,0,0,
1910-07-06,1910,Wright Biplane,Light Utility,Fly By,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Kansas,USA,,,0,1,0,0,0,
1910-07-08,1910,Voison Biplane,Light Utility,Fly By,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Reims ,France,,,1,0,0,0,0,
1910-07-09,1910,Parachutist,Parachuting,Parachuting,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Coventry ,UK,,,0,0,1,0,0,
1910-07-12,1910,Wright Flyer,Light Utility,Dive Pullout,0,0,0,0.0,0,0,0,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Bournemouth,UK,,,0,1,0,0,0,
1910-08-08,1910,Curtiss Biplane,Light Utility,Landing,0,1,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Pennsylvannia ,USA,First midair collision,,0,0,0,1,0,
1910-08-10,1910,Wright Flyer,Light Utility,Landing,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0,1,"New Jersey, ",USA,First into spectator enclosure,,1,0,0,0,0,
1910-08-12,1910,Parachutist ,Balloon,Parachuting,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,"New Jersey, ",USA,,,0,0,0,0,0,
1910-09-10,1910,Hamiltonian,Light Utility,Fly By,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,California,USA,,,1,0,0,0,0,
1910-09-14,1910,Wright Biplane Model B,Light Utility,Fly By,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9.0,0.0,0.0,0.0,0.0,0,0,Wisconsin,USA,Fist litigation case,,0,0,1,0,0,
1910-10-01,1910,Antoinette Monoplane + Farman Biplane,Light Utility,Unknown,0,1,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,Milan,Italy,Second midair collision,,0,0,0,1,0,
1910-10-04,1910,Unknown,Light Utility,Turning,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Virginia,USA,First passenger interference,,0,0,1,0,0,
1910-10-24,1910,Bleriot XI,Light Utility,Takeoff,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,Oslo,Norway,,,1,0,0,0,0,
1910-10-29,1910,Bleriot XI,Light Utility,Air Race,0,0,0,0.0,0,0,0,0,0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,New York,USA,,,0,1,0,0,0,
1910-11-17,1910,Wright Flyer,Light Utility,Dive Pullout,0,0,0,0.0,0,0,0,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Colorado,USA,,,0,1,0,0,0,
1910-11-17,1910,Farman Biplane,Light Utility,Takeoff,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Nevada,USA,,,0,0,1,0,0,
1910-11-22,1910,Unknown,Light Utility,Dive,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Alabama,USA,,,1,0,0,0,0,
1910-12-29,1910,Unknown,Light Utility,Landing,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,California,USA,,,1,0,0,0,0,
1910-12-31,1910,Wright Biplane,Light Utility,Altitude Record,0,0,0,0.0,0,0,0,0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,California,USA,Possible incapacitation,,0,0,0,0,0,
1910-12-31,1910,Bleriot Monoplane,Light Utility,Landing ,0,0,0,0.0,0,1,0,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Louisiana,USA,Fell off seat ,,0,0,1,0,0,
1911-01-10,1911,Antionette Monoplane,Light Utility,Takeoff,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,California,USA,,,0,0,1,0,0,
1911-05-20,1911,Unknown,Light Utility,Unknown,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,Kursk,Russia,,,1,0,0,0,0,
1911-05-21,1911,Emile Train,Light Utility,Takeoff,0,0,0,0.0,0,0,0,0,0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,3.0,0.0,0.0,0.0,0.0,0,0,Paris,France,,,0,1,0,0,0,
1911-05-23,1911,Unknown,Light Utility,Unknown,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Strassberg,Germany,,,1,0,0,0,0,
1911-08-10,1911,Curtiss Biplane,Light Utility,Unknown,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,7.0,0.0,0.0,0.0,0.0,0,1,Illinois,USA,,,1,0,0,0,0,
1911-08-15,1911,Moisant Monoplane,Light Utility,Dip,0,0,0,0.0,0,0,0,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Chicago International Aviation Meet,USA,,,0,1,0,0,0,
1911-08-15,1911,Baldwin Biplane,Light Utility,Dive,0,0,0,0.0,0,0,0,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Chicago,USA,,,0,1,0,0,0,
1911-08-16,1911,Queen Bleriot Monoplane,Light Utility,Fly By,0,0,0,0.0,0,0,0,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Chicago International Aviation Meet,USA,,,0,1,0,0,0,
1911-08-16,1911,Baby Wright,Light Utility,Fly By,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Chicago International Aviation Meet,USA,,,1,0,0,0,0,
1911-10-02,1911,Curtiss Model D Pusher,Light Utility,Takeoff,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Washington State,USA,,,0,0,1,0,0,
1911-10-11,1911,Curtiss Biplane,Light Utility,Takeoff,0,0,0,1.0,Spectator,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,Kansas,USA,First spectator propeller ,,0,0,0,0,0,
1911-10-19,1911,Wright Flyer,Light Utility,Dive Pullout,1,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Georgia,USA,,,1,0,0,0,0,
1912-01-22,1912,Curtiss Biplane,Light Utility,Turn,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,California,USA,,,1,0,0,0,0,
1912-04-03,1912,Wright Flyer,Light Utility,Turn,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,California,USA,First Birdstrike,,0,0,1,0,0,
1912-05-14,1912,Unknown,Light Utility,Turn,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,London ,UK,,,1,0,0,0,0,
1912-05-29,1912,Wright Flyer C,Light Utility,Turn,0,0,0,1.0,Grandstand,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,2.0,17.0,0.0,0.0,0.0,0.0,0,1,Seattle,USA,First media conflict,,0,0,0,0,0,
1912-06-01,1912,Wright Flyer,Light Utility,Unknown,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Washington,USA,,,0,0,1,0,0,
1912-07-01,1912,Bleriot Monoplane,Light Utility,Unknown,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Massachusetts,USA,No seat belts; ejected from seat.,,0,0,1,0,0,
1912-07-20,1912,Unknown,Light Utility,Takeoff,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,New York,USA,,,1,0,0,0,0,
1912-08-04,1912,Unknown,Light Utility,Fly By,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Michigan,USA,,,0,0,1,0,0,
1912-08-23,1912,Matheson Headless Flyer,Light Utility,Fly By,0,0,0,1.0,Tree,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Colorado,USA,,,0,0,0,0,0,
1912-09-08,1912,Unknown,Light Utility,Unknown,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4.0,10.0,0.0,0.0,0.0,0.0,0,0,Dijon,France,,,1,0,0,0,0,
1912-09-14,1912,Wright Biplane,Light Utility,Air Race,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,Chicago,USA,,,0,0,0,1,0,
1913-07-19,1913,Parachutist,Light Utility,Parachuting,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Washington,USA,,,0,1,0,0,0,
1913-08-06,1913,Curtiss Seaplane,Light Utility,Fly By,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,British Columbia,Canada,,,0,0,1,0,0,
1913-09-02,1913,Unknown,Light Utility,Bombing Demo Maildrop,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2,Vermont ,USA,,,0,1,0,0,0,
1913-09-09,1913,Unknown,Light Utility,Unknown,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Illinois,USA,,,0,1,0,0,0,
1913-09-25,1913,Unknown,Light Utility,Fly By,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Colorado,USA,,,0,1,0,0,0,
1913-10-01,1913,Unknown,Light Utility,Unknown,0,0,0,0.0,0,1,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,2.0,7.0,0.0,0.0,0.0,0.0,0,1,West Virginia,USA,,,0,0,1,0,0,
1913-10-01,1913,Unknown,Light Utility,Fly By,0,0,0,0.0,0,0,0,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,New York,USA,,,0,1,0,0,0,
2013-10-07,2013,Curtiss Pusher,Light Utility,Turn,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,3.0,0.0,0.0,0.0,0.0,0,0,New York,USA,,,1,0,0,0,0,
1914-09-16,1914,Unknown ,Light Utility,Unknown,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Colorado,USA,,,1,0,0,0,0,
1915-03-14,1915,Taube Monoplane,Light Utility,Dive Pullout,0,0,0,0.0,0,0,0,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,California,USA,First spectator death,,0,1,0,0,0,
1915-03-15,1915,Curtiss Model D Pusher,Light Utility,Bombing Demo,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Florida,USA,Possible shockwave or shrapnel damage?,,1,0,0,0,0,
1915-09-06,1915,Parachutist,Parachuting,Parachuting,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Vermont,USA,,,0,0,0,0,0,
1915-09-22,1915,Parachutist,Parachuting,Parachuting,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,Colorado,USA,,,0,1,0,0,0,
1915-10-25,1915,Moisant Monoplane,Light Utility,Landing,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,California,USA,,,1,0,0,0,0,
1915-06-25,1915,Moisant Monoplane,Light Utility,Aerobatics,0,0,0,0.0,0,0,0,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Wisconsin,USA,,,0,1,0,0,0,
1915-11-04,1915,Unknown,Light Utility,Spiral Descent,0,0,1,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,San Diego ,USA,,,1,0,0,0,0,
1916-07-17,1916,Unknown,Light Utility,Inverted Pass,0,0,0,0.0,0,0,0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Georgia,USA,,,0,1,0,0,0,
